answer,r_pred,f_pred,cross_pred,review
0,0,0,0,crashed when bought dlc map extentions cant even play game just crashes have tried redownloading didnt work very disapointed waste of money
0,0,0,0,my game keeps on crashing when i use mods please fix this it has pissed me on my child off.
0,0,0,0,I can't play im got crash allways pls give back Me money
0,0,0,0,"I love this game, but it keeps crashing on OSX el capitan 10.11.6. Please fix this and i'll update my review!"
0,0,0,0,the game is crashing during the launch
0,0,0,0,"My Little brother bought me this game. Dont work on the Alienware Area 51M 

I7 9700k
144Hrz G-sync with Tobii 
RTX 2060
16gb Ram
Installed on a 1TB HDD

Iv fallowed everything on the forums but still says. Failed to Instalize. I got the game to work for 26 mins. It crashed and It wont work any more again? Got all the latest drivers installed too. 

Hope some one can help realy want to try out the game since Im a Trucker. I work for Swift LOL even though I got it for free. Im not mad just wish they could fix it. As far as House fliper thats another story."
0,0,0,0,"Waiting for another update. Vive VR in the beta branch not currently working. It will boot but will not use all resources of the computer and thus the game is a choppy mess even on the lowest settings. (My gear plays all my other VR titles just fine.) GPU and CPU usage shows at around 3% and it get's bad fps because of it. Coding issues to connect to hardware propperly. 

Not sure how the game is outside of VR because why play a driving game where you can't look around now that the tech is available. Will update this as soon as they send out a fix and I can try the game.

https://forum.scssoft.com/viewtopic.php?f=41&t=58686&start=560"
0,0,0,0,"I liked this game, but I can't play it on my computer. It crashes with a black screen and a blue screen with a sound loop, don't waste your money on this game. Also for those of you who think my computer is not good enough to handle the game, these are my computer specs.
i7-4690 16GB Ram GTX Geforce 970"
0,0,0,2,"The game just became unplayable on MacOS after update 1.36, so don't bother paying for ETS2 or ATS until the developer recognizes and fixes the issue. And yes, I have a brand new computer that far exceeds the minimum system requirements. Everything else runs flawlessly, as did this game, until 1.36 was released."
0,0,0,2,"Game is realy cool but I have an issue with crashing. I have a couple of mods but I don't think that is the issue. I crash whenever I come close to Mannheim and Rotterdam, if there is someone who knows what is wrong please tell me."
0,0,0,2,The last update is great but not online but there are some online cheats There are players closing the path fps drop error There are so many bugs there ...
